timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
37:55.6,436,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-4,text,TRUE,,3557,170,2,2,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false,435,0,28
37:54.9,1717,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-5,text,TRUE,,1866,170,3,3,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false,1717,0,584
37:56.6,353,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-3,text,TRUE,,3553,170,3,3,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false,349,0,27
37:57.6,1346,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-2,text,TRUE,,3569,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false,1346,0,41
37:58.6,1156,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-1,text,TRUE,,722,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false,1156,0,32
38:37.6,1452,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-4,text,TRUE,,3549,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false,1452,0,25
38:42.8,390,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-5,text,TRUE,,3555,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json?catalogue=false,381,0,27
38:44.6,1205,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-3,text,TRUE,,3544,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6334/Details.json?catalogue=false,1205,0,26
38:57.6,383,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-2,text,TRUE,,3544,170,5,5,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false,378,0,23
38:58.6,1195,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-1,text,TRUE,,3544,170,1,1,https://api.tmsandbox.co.nz/v1/Categories/6336/Details.json?catalogue=false,1194,0,25
